seed,episode,soups,sampled_roles,teacher_roles,observed_roles
3,154,6.0,1-2-0,0-1-2,0-1-2
3,155,3.0,1-2-2,0-1-2,0-1-2
3,156,0.0,1-1-0,0-1-2,0-1-2
3,157,0.0,0-2-0,0-2-1,0-1-2
3,158,4.0,2-2-1,0-1-2,0-1-2
3,159,4.0,1-2-2,0-2-1,0-1-2
3,160,6.0,2-1-0,0-1-2,0-1-2
3,161,0.0,0-0-0,0-1-2,0-1-2
3,162,6.0,0-1-2,0-1-2,0-1-2
3,163,6.0,0-1-2,0-1-2,0-1-2
3,164,2.0,0-0-2,0-1-2,0-1-2
3,165,0.0,1-0-0,0-1-2,0-1-2
3,166,4.0,2-1-1,0-1-2,0-1-2
3,167,0.0,1-0-0,0-1-2,0-1-2
3,168,6.0,2-0-1,0-1-2,0-1-2
3,169,6.0,0-1-2,0-1-2,0-1-2
